"Landscape","Transect","Scientific.Name","Taxon.Rank","Observation.Type","Indv"
"SimForest","T02","Lanius schach","Species","PointLoc",4
"SimForest","T02","Oriolus xanthonotus","Species","PointLoc",4
"SimForest","T02","Dicrurus paradiseus","Species","PointLoc",3
"SimForest","T02","Chloropsis sonnerati","Species","PointLoc",4
"SimForest","T02","Irena puella","Species","PointLoc",2
"SimForest","T02","Harpactes duvaucelii","Species","PointLoc",7
"SimForest","T02","Buceros rhinoceros","Species","PointLoc",3
"SimForest","T02","Anorrhinus galeritus","Species","PointLoc",8
"SimForest","T02","Arachnothera longirostra","Species","PointLoc",5
"SimForest","T03","Pycnonotus aurigaster","Species","PointLoc",4
"SimForest","T03","Halcyon smyrnensis","Species","PointLoc",3
"SimForest","T03","Kittacincla malabarica","Species","PointLoc",5
"SimForest","T03","Aegithina tiphia","Species","PointLoc",3
"SimForest","T03","Alcippe brunneicauda","Species","PointLoc",5
"SimForest","T03","Alophoixus tephrogenys","Species","PointLoc",2
"SimForest","T03","Anthracoceros malayanus","Species","PointLoc",5
"SimForest","T03","Anthreptes simplex","Species","PointLoc",4
"SimForest","T03","Actenoides concretus","Species","PointLoc",2
"SimForest","T03","Copsychus saularis","Species","PointLoc",3
"SimForest","T03","Pycnonotus plumosus","Species","PointLoc",2
"SimForest","T03","Dicaeum trigonostigma","Species","PointLoc",1
"SimForest","T03","Cinnyris jugularis","Species","PointLoc",4
"SimForest","T03","Prinia flaviventris","Species","PointLoc",5
"SimForest","T03","Ficedula mugimaki","Species","PointLoc",3
"SimForest","T03","Hemipus hirundinaceus","Species","PointLoc",4
"SimForest","T03","Rhipidura javanica","Species","PointLoc",3
"SimForest","T03","Lanius schach","Species","PointLoc",6
"SimForest","T03","Oriolus xanthonotus","Species","PointLoc",3
"SimForest","T03","Dicrurus paradiseus","Species","PointLoc",4
"SimForest","T03","Chloropsis sonnerati","Species","PointLoc",5
"SimForest","T03","Irena puella","Species","PointLoc",6
"SimForest","T03","Harpactes duvaucelii","Species","PointLoc",4
"SimForest","T03","Buceros rhinoceros","Species","PointLoc",2
"SimForest","T03","Anorrhinus galeritus","Species","PointLoc",9
"SimForest","T03","Arachnothera longirostra","Species","PointLoc",4
"SimForest","T03","Zosterops palpebrosus","Species","PointLoc",2
"SimForest","T04","Pycnonotus aurigaster","Species","PointLoc",11
"SimForest","T04","Halcyon smyrnensis","Species","PointLoc",12
"SimForest","T04","Kittacincla malabarica","Species","PointLoc",19
"SimForest","T04","Aegithina tiphia","Species","PointLoc",9
"SimForest","T04","Alcippe brunneicauda","Species","PointLoc",8
"SimForest","T04","Alophoixus tephrogenys","Species","PointLoc",4
"SimForest","T04","Anthracoceros malayanus","Species","PointLoc",12
"SimForest","T04","Anthreptes simplex","Species","PointLoc",7
"SimForest","T04","Actenoides concretus","Species","PointLoc",5
"SimForest","T04","Copsychus saularis","Species","PointLoc",8
"SimForest","T04","Pycnonotus goiavier","Species","PointLoc",4
"SimForest","T04","Pycnonotus plumosus","Species","PointLoc",3
"SimForest","T04","Dicaeum trigonostigma","Species","PointLoc",4
"SimForest","T04","Cinnyris jugularis","Species","PointLoc",15
"SimForest","T04","Orthotomus ruficeps","Species","PointLoc",2
"SimForest","T04","Prinia flaviventris","Species","PointLoc",9
"SimForest","T04","Ficedula mugimaki","Species","PointLoc",4
"SimForest","T04","Terpsiphone paradisi","Species","PointLoc",4
"SimForest","T04","Hemipus hirundinaceus","Species","PointLoc",18
"SimForest","T04","Rhipidura javanica","Species","PointLoc",5
"SimForest","T04","Lanius schach","Species","PointLoc",10
"SimForest","T04","Oriolus xanthonotus","Species","PointLoc",7
"SimForest","T04","Dicrurus paradiseus","Species","PointLoc",7
"SimForest","T04","Chloropsis sonnerati","Species","PointLoc",15
"SimForest","T04","Irena puella","Species","PointLoc",5
"SimForest","T04","Harpactes duvaucelii","Species","PointLoc",9
"SimForest","T04","Buceros rhinoceros","Species","PointLoc",8
"SimForest","T04","Anorrhinus galeritus","Species","PointLoc",11
"SimForest","T04","Arachnothera longirostra","Species","PointLoc",11
"SimForest","T04","Zosterops palpebrosus","Species","PointLoc",2
"SimForest","T05","Pycnonotus aurigaster","Species","PointLoc",7
"SimForest","T05","Halcyon smyrnensis","Species","PointLoc",8
"SimForest","T05","Kittacincla malabarica","Species","PointLoc",12
"SimForest","T05","Aegithina tiphia","Species","PointLoc",9
"SimForest","T05","Alcippe brunneicauda","Species","PointLoc",10
"SimForest","T05","Alophoixus tephrogenys","Species","PointLoc",7
"SimForest","T05","Anthracoceros malayanus","Species","PointLoc",1
"SimForest","T05","Anthreptes simplex","Species","PointLoc",9
"SimForest","T05","Actenoides concretus","Species","PointLoc",8
"SimForest","T05","Copsychus saularis","Species","PointLoc",10
"SimForest","T05","Pycnonotus goiavier","Species","PointLoc",2
"SimForest","T05","Pycnonotus plumosus","Species","PointLoc",5
"SimForest","T05","Dicaeum trigonostigma","Species","PointLoc",3
"SimForest","T05","Cinnyris jugularis","Species","PointLoc",11
"SimForest","T05","Orthotomus ruficeps","Species","PointLoc",1
"SimForest","T05","Prinia flaviventris","Species","PointLoc",12
"SimForest","T05","Ficedula mugimaki","Species","PointLoc",3
"SimForest","T05","Terpsiphone paradisi","Species","PointLoc",5
"SimForest","T05","Hemipus hirundinaceus","Species","PointLoc",14
"SimForest","T05","Rhipidura javanica","Species","PointLoc",8
"SimForest","T05","Lanius schach","Species","PointLoc",12
"SimForest","T05","Oriolus xanthonotus","Species","PointLoc",5
"SimForest","T05","Dicrurus paradiseus","Species","PointLoc",7
"SimForest","T05","Chloropsis sonnerati","Species","PointLoc",5
"SimForest","T05","Irena puella","Species","PointLoc",7
"SimForest","T05","Harpactes duvaucelii","Species","PointLoc",8
"SimForest","T05","Buceros rhinoceros","Species","PointLoc",7
"SimForest","T05","Anorrhinus galeritus","Species","PointLoc",9
"SimForest","T05","Arachnothera longirostra","Species","PointLoc",7
"SimForest","T05","Zosterops palpebrosus","Species","PointLoc",4
"SimForest","T06","Pycnonotus aurigaster","Species","PointLoc",2
"SimForest","T06","Halcyon smyrnensis","Species","PointLoc",3
"SimForest","T06","Kittacincla malabarica","Species","PointLoc",1
"SimForest","T06","Aegithina tiphia","Species","PointLoc",4
"SimForest","T06","Alcippe brunneicauda","Species","PointLoc",1
"SimForest","T06","Alophoixus tephrogenys","Species","PointLoc",4
"SimForest","T06","Anthracoceros malayanus","Species","PointLoc",3
"SimForest","T06","Actenoides concretus","Species","PointLoc",1
"SimForest","T06","Copsychus saularis","Species","PointLoc",2
"SimForest","T06","Pycnonotus goiavier","Species","PointLoc",1
"SimForest","T06","Pycnonotus plumosus","Species","PointLoc",2
"SimForest","T06","Dicaeum trigonostigma","Species","PointLoc",1
"SimForest","T06","Cinnyris jugularis","Species","PointLoc",5
"SimForest","T06","Orthotomus ruficeps","Species","PointLoc",1
"SimForest","T06","Prinia flaviventris","Species","PointLoc",2
"SimForest","T06","Ficedula mugimaki","Species","PointLoc",1
"SimForest","T06","Terpsiphone paradisi","Species","PointLoc",2
"SimForest","T06","Hemipus hirundinaceus","Species","PointLoc",2
"SimForest","T06","Rhipidura javanica","Species","PointLoc",1
"SimForest","T06","Lanius schach","Species","PointLoc",1
"SimForest","T06","Oriolus xanthonotus","Species","PointLoc",3
"SimForest","T06","Dicrurus paradiseus","Species","PointLoc",2
"SimForest","T06","Irena puella","Species","PointLoc",1
"SimForest","T06","Harpactes duvaucelii","Species","PointLoc",1
"SimForest","T06","Buceros rhinoceros","Species","PointLoc",1
"SimForest","T06","Anorrhinus galeritus","Species","PointLoc",3
"SimForest","T06","Arachnothera longirostra","Species","PointLoc",6
"SimForest","T07","Pycnonotus aurigaster","Species","PointLoc",5
"SimForest","T07","Halcyon smyrnensis","Species","PointLoc",6
"SimForest","T07","Kittacincla malabarica","Species","PointLoc",7
"SimForest","T07","Aegithina tiphia","Species","PointLoc",4
"SimForest","T07","Alcippe brunneicauda","Species","PointLoc",8
"SimForest","T07","Alophoixus tephrogenys","Species","PointLoc",3
"SimForest","T07","Anthracoceros malayanus","Species","PointLoc",3
"SimForest","T07","Anthreptes simplex","Species","PointLoc",3
"SimForest","T07","Actenoides concretus","Species","PointLoc",7
"SimForest","T07","Copsychus saularis","Species","PointLoc",5
"SimForest","T07","Pycnonotus goiavier","Species","PointLoc",3
"SimForest","T07","Pycnonotus plumosus","Species","PointLoc",2
"SimForest","T07","Dicaeum trigonostigma","Species","PointLoc",2
"SimForest","T07","Cinnyris jugularis","Species","PointLoc",11
"SimForest","T07","Prinia flaviventris","Species","PointLoc",6
"SimForest","T07","Ficedula mugimaki","Species","PointLoc",6
"SimForest","T07","Terpsiphone paradisi","Species","PointLoc",3
"SimForest","T07","Hemipus hirundinaceus","Species","PointLoc",5
"SimForest","T07","Rhipidura javanica","Species","PointLoc",2
"SimForest","T07","Lanius schach","Species","PointLoc",4
"SimForest","T07","Oriolus xanthonotus","Species","PointLoc",5
"SimForest","T07","Dicrurus paradiseus","Species","PointLoc",1
"SimForest","T07","Chloropsis sonnerati","Species","PointLoc",3
"SimForest","T07","Irena puella","Species","PointLoc",3
"SimForest","T07","Harpactes duvaucelii","Species","PointLoc",4
"SimForest","T07","Buceros rhinoceros","Species","PointLoc",2
"SimForest","T07","Anorrhinus galeritus","Species","PointLoc",2
"SimForest","T07","Arachnothera longirostra","Species","PointLoc",4
"SimForest","T07","Zosterops palpebrosus","Species","PointLoc",1
"SimForest","T08","Pycnonotus aurigaster","Species","PointLoc",2
"SimForest","T08","Halcyon smyrnensis","Species","PointLoc",2
"SimForest","T08","Kittacincla malabarica","Species","PointLoc",7
"SimForest","T08","Aegithina tiphia","Species","PointLoc",5
"SimForest","T08","Alcippe brunneicauda","Species","PointLoc",7
"SimForest","T08","Anthracoceros malayanus","Species","PointLoc",2
"SimForest","T08","Anthreptes simplex","Species","PointLoc",4
"SimForest","T08","Actenoides concretus","Species","PointLoc",4
"SimForest","T08","Copsychus saularis","Species","PointLoc",5
"SimForest","T08","Pycnonotus plumosus","Species","PointLoc",1
"SimForest","T08","Dicaeum trigonostigma","Species","PointLoc",1
"SimForest","T08","Cinnyris jugularis","Species","PointLoc",6
"SimForest","T08","Orthotomus ruficeps","Species","PointLoc",2
"SimForest","T08","Prinia flaviventris","Species","PointLoc",4
"SimForest","T08","Ficedula mugimaki","Species","PointLoc",1
"SimForest","T08","Terpsiphone paradisi","Species","PointLoc",1
"SimForest","T08","Hemipus hirundinaceus","Species","PointLoc",4
"SimForest","T08","Rhipidura javanica","Species","PointLoc",2
"SimForest","T08","Lanius schach","Species","PointLoc",3
"SimForest","T08","Oriolus xanthonotus","Species","PointLoc",1
"SimForest","T08","Dicrurus paradiseus","Species","PointLoc",4
"SimForest","T08","Chloropsis sonnerati","Species","PointLoc",4
"SimForest","T08","Irena puella","Species","PointLoc",4
"SimForest","T08","Harpactes duvaucelii","Species","PointLoc",3
"SimForest","T08","Buceros rhinoceros","Species","PointLoc",2
"SimForest","T08","Anorrhinus galeritus","Species","PointLoc",6
"SimForest","T08","Arachnothera longirostra","Species","PointLoc",3
"SimForest","T08","Zosterops palpebrosus","Species","PointLoc",1
"SimForest","T09","Pycnonotus aurigaster","Species","PointLoc",7
"SimForest","T09","Halcyon smyrnensis","Species","PointLoc",13
"SimForest","T09","Kittacincla malabarica","Species","PointLoc",24
"SimForest","T09","Aegithina tiphia","Species","PointLoc",8
"SimForest","T09","Alcippe brunneicauda","Species","PointLoc",8
"SimForest","T09","Alophoixus tephrogenys","Species","PointLoc",7
"SimForest","T09","Anthracoceros malayanus","Species","PointLoc",6
"SimForest","T09","Anthreptes simplex","Species","PointLoc",11
"SimForest","T09","Actenoides concretus","Species","PointLoc",11
"SimForest","T09","Copsychus saularis","Species","PointLoc",11
"SimForest","T09","Pycnonotus goiavier","Species","PointLoc",3
"SimForest","T09","Pycnonotus plumosus","Species","PointLoc",5
"SimForest","T09","Dicaeum trigonostigma","Species","PointLoc",4
"SimForest","T09","Cinnyris jugularis","Species","PointLoc",17
"SimForest","T09","Orthotomus ruficeps","Species","PointLoc",1
"SimForest","T09","Prinia flaviventris","Species","PointLoc",8
"SimForest","T09","Ficedula mugimaki","Species","PointLoc",7
"SimForest","T09","Terpsiphone paradisi","Species","PointLoc",2
"SimForest","T09","Hemipus hirundinaceus","Species","PointLoc",15
"SimForest","T09","Rhipidura javanica","Species","PointLoc",6
"SimForest","T09","Lanius schach","Species","PointLoc",9
"SimForest","T09","Oriolus xanthonotus","Species","PointLoc",6
"SimForest","T09","Dicrurus paradiseus","Species","PointLoc",15
"SimForest","T09","Chloropsis sonnerati","Species","PointLoc",13
"SimForest","T09","Irena puella","Species","PointLoc",5
"SimForest","T09","Harpactes duvaucelii","Species","PointLoc",5
"SimForest","T09","Buceros rhinoceros","Species","PointLoc",8
"SimForest","T09","Anorrhinus galeritus","Species","PointLoc",13
"SimForest","T09","Arachnothera longirostra","Species","PointLoc",14
"SimForest","T09","Zosterops palpebrosus","Species","PointLoc",2
"SimForest","T10","Pycnonotus aurigaster","Species","PointLoc",4
"SimForest","T10","Halcyon smyrnensis","Species","PointLoc",2
"SimForest","T10","Kittacincla malabarica","Species","PointLoc",8
"SimForest","T10","Aegithina tiphia","Species","PointLoc",4
"SimForest","T10","Alcippe brunneicauda","Species","PointLoc",5
"SimForest","T10","Alophoixus tephrogenys","Species","PointLoc",3
"SimForest","T10","Anthracoceros malayanus","Species","PointLoc",2
"SimForest","T10","Anthreptes simplex","Species","PointLoc",2
"SimForest","T10","Copsychus saularis","Species","PointLoc",7
"SimForest","T10","Pycnonotus plumosus","Species","PointLoc",5
"SimForest","T10","Cinnyris jugularis","Species","PointLoc",4
"SimForest","T10","Prinia flaviventris","Species","PointLoc",1
"SimForest","T10","Ficedula mugimaki","Species","PointLoc",3
"SimForest","T10","Terpsiphone paradisi","Species","PointLoc",1
"SimForest","T10","Hemipus hirundinaceus","Species","PointLoc",6
"SimForest","T10","Rhipidura javanica","Species","PointLoc",2
"SimForest","T10","Lanius schach","Species","PointLoc",5
"SimForest","T10","Oriolus xanthonotus","Species","PointLoc",2
"SimForest","T10","Dicrurus paradiseus","Species","PointLoc",2
"SimForest","T10","Chloropsis sonnerati","Species","PointLoc",8
"SimForest","T10","Irena puella","Species","PointLoc",4
"SimForest","T10","Harpactes duvaucelii","Species","PointLoc",2
"SimForest","T10","Buceros rhinoceros","Species","PointLoc",1
"SimForest","T10","Anorrhinus galeritus","Species","PointLoc",5
"SimForest","T10","Arachnothera longirostra","Species","PointLoc",6
"SimForest","T10","Zosterops palpebrosus","Species","PointLoc",3
"SimForest","T11","Pycnonotus aurigaster","Species","PointLoc",8
"SimForest","T11","Halcyon smyrnensis","Species","PointLoc",7
"SimForest","T11","Kittacincla malabarica","Species","PointLoc",18
"SimForest","T11","Aegithina tiphia","Species","PointLoc",5
"SimForest","T11","Alcippe brunneicauda","Species","PointLoc",6
"SimForest","T11","Alophoixus tephrogenys","Species","PointLoc",10
"SimForest","T11","Anthracoceros malayanus","Species","PointLoc",10
"SimForest","T11","Anthreptes simplex","Species","PointLoc",9
"SimForest","T11","Actenoides concretus","Species","PointLoc",6
"SimForest","T11","Copsychus saularis","Species","PointLoc",4
"SimForest","T11","Pycnonotus goiavier","Species","PointLoc",2
"SimForest","T11","Pycnonotus plumosus","Species","PointLoc",3
"SimForest","T11","Dicaeum trigonostigma","Species","PointLoc",3
"SimForest","T11","Cinnyris jugularis","Species","PointLoc",12
"SimForest","T11","Orthotomus ruficeps","Species","PointLoc",3
"SimForest","T11","Prinia flaviventris","Species","PointLoc",8
"SimForest","T11","Ficedula mugimaki","Species","PointLoc",9
"SimForest","T11","Terpsiphone paradisi","Species","PointLoc",3
"SimForest","T11","Hemipus hirundinaceus","Species","PointLoc",12
"SimForest","T11","Rhipidura javanica","Species","PointLoc",5
"SimForest","T11","Lanius schach","Species","PointLoc",5
"SimForest","T11","Oriolus xanthonotus","Species","PointLoc",2
"SimForest","T11","Dicrurus paradiseus","Species","PointLoc",7
"SimForest","T11","Chloropsis sonnerati","Species","PointLoc",12
"SimForest","T11","Irena puella","Species","PointLoc",8
"SimForest","T11","Harpactes duvaucelii","Species","PointLoc",9
"SimForest","T11","Buceros rhinoceros","Species","PointLoc",6
"SimForest","T11","Anorrhinus galeritus","Species","PointLoc",9
"SimForest","T11","Arachnothera longirostra","Species","PointLoc",16
"SimForest","T11","Zosterops palpebrosus","Species","PointLoc",2
"SimForest","T12","Pycnonotus aurigaster","Species","PointLoc",5
"SimForest","T12","Halcyon smyrnensis","Species","PointLoc",6
"SimForest","T12","Kittacincla malabarica","Species","PointLoc",12
"SimForest","T12","Aegithina tiphia","Species","PointLoc",5
"SimForest","T12","Alcippe brunneicauda","Species","PointLoc",10
"SimForest","T12","Alophoixus tephrogenys","Species","PointLoc",2
"SimForest","T12","Anthracoceros malayanus","Species","PointLoc",3
"SimForest","T12","Anthreptes simplex","Species","PointLoc",8
"SimForest","T12","Actenoides concretus","Species","PointLoc",7
"SimForest","T12","Copsychus saularis","Species","PointLoc",12
"SimForest","T12","Pycnonotus goiavier","Species","PointLoc",4
"SimForest","T12","Pycnonotus plumosus","Species","PointLoc",3
"SimForest","T12","Dicaeum trigonostigma","Species","PointLoc",3
"SimForest","T12","Cinnyris jugularis","Species","PointLoc",7
"SimForest","T12","Orthotomus ruficeps","Species","PointLoc",3
"SimForest","T12","Prinia flaviventris","Species","PointLoc",11
"SimForest","T12","Ficedula mugimaki","Species","PointLoc",5
"SimForest","T12","Terpsiphone paradisi","Species","PointLoc",3
"SimForest","T12","Hemipus hirundinaceus","Species","PointLoc",12
"SimForest","T12","Rhipidura javanica","Species","PointLoc",6
"SimForest","T12","Lanius schach","Species","PointLoc",7
"SimForest","T12","Oriolus xanthonotus","Species","PointLoc",4
"SimForest","T12","Dicrurus paradiseus","Species","PointLoc",9
"SimForest","T12","Chloropsis sonnerati","Species","PointLoc",11
"SimForest","T12","Irena puella","Species","PointLoc",2
"SimForest","T12","Harpactes duvaucelii","Species","PointLoc",7
"SimForest","T12","Buceros rhinoceros","Species","PointLoc",6
"SimForest","T12","Anorrhinus galeritus","Species","PointLoc",9
"SimForest","T12","Arachnothera longirostra","Species","PointLoc",12
"SimForest","T12","Zosterops palpebrosus","Species","PointLoc",4
"SimForest","T13","Pycnonotus aurigaster","Species","PointLoc",6
"SimForest","T13","Halcyon smyrnensis","Species","PointLoc",6
"SimForest","T13","Kittacincla malabarica","Species","PointLoc",6
"SimForest","T13","Aegithina tiphia","Species","PointLoc",8
"SimForest","T13","Alcippe brunneicauda","Species","PointLoc",5
"SimForest","T13","Alophoixus tephrogenys","Species","PointLoc",5
"SimForest","T13","Anthracoceros malayanus","Species","PointLoc",5
"SimForest","T13","Anthreptes simplex","Species","PointLoc",4
"SimForest","T13","Actenoides concretus","Species","PointLoc",4
"SimForest","T13","Copsychus saularis","Species","PointLoc",4
"SimForest","T13","Pycnonotus goiavier","Species","PointLoc",3
"SimForest","T13","Pycnonotus plumosus","Species","PointLoc",3
"SimForest","T13","Dicaeum trigonostigma","Species","PointLoc",7
"SimForest","T13","Cinnyris jugularis","Species","PointLoc",8
"SimForest","T13","Orthotomus ruficeps","Species","PointLoc",4
"SimForest","T13","Prinia flaviventris","Species","PointLoc",3
"SimForest","T13","Ficedula mugimaki","Species","PointLoc",11
"SimForest","T13","Terpsiphone paradisi","Species","PointLoc",4
"SimForest","T13","Hemipus hirundinaceus","Species","PointLoc",14
"SimForest","T13","Rhipidura javanica","Species","PointLoc",6
"SimForest","T13","Lanius schach","Species","PointLoc",7
"SimForest","T13","Oriolus xanthonotus","Species","PointLoc",5
"SimForest","T13","Dicrurus paradiseus","Species","PointLoc",7
"SimForest","T13","Chloropsis sonnerati","Species","PointLoc",16
"SimForest","T13","Irena puella","Species","PointLoc",3
"SimForest","T13","Harpactes duvaucelii","Species","PointLoc",9
"SimForest","T13","Buceros rhinoceros","Species","PointLoc",9
"SimForest","T13","Anorrhinus galeritus","Species","PointLoc",2
"SimForest","T13","Arachnothera longirostra","Species","PointLoc",9
"SimForest","T14","Pycnonotus aurigaster","Species","PointLoc",6
"SimForest","T14","Halcyon smyrnensis","Species","PointLoc",7
"SimForest","T14","Kittacincla malabarica","Species","PointLoc",11
"SimForest","T14","Aegithina tiphia","Species","PointLoc",6
"SimForest","T14","Alcippe brunneicauda","Species","PointLoc",2
"SimForest","T14","Alophoixus tephrogenys","Species","PointLoc",9
"SimForest","T14","Anthracoceros malayanus","Species","PointLoc",3
"SimForest","T14","Anthreptes simplex","Species","PointLoc",4
"SimForest","T14","Actenoides concretus","Species","PointLoc",2
"SimForest","T14","Copsychus saularis","Species","PointLoc",7
"SimForest","T14","Pycnonotus plumosus","Species","PointLoc",1
"SimForest","T14","Dicaeum trigonostigma","Species","PointLoc",3
"SimForest","T14","Cinnyris jugularis","Species","PointLoc",7
"SimForest","T14","Orthotomus ruficeps","Species","PointLoc",6
"SimForest","T14","Prinia flaviventris","Species","PointLoc",9
"SimForest","T14","Ficedula mugimaki","Species","PointLoc",6
"SimForest","T14","Terpsiphone paradisi","Species","PointLoc",1
"SimForest","T14","Hemipus hirundinaceus","Species","PointLoc",5
"SimForest","T14","Rhipidura javanica","Species","PointLoc",4
"SimForest","T14","Lanius schach","Species","PointLoc",4
"SimForest","T14","Oriolus xanthonotus","Species","PointLoc",1
"SimForest","T14","Dicrurus paradiseus","Species","PointLoc",8
"SimForest","T14","Chloropsis sonnerati","Species","PointLoc",6
"SimForest","T14","Irena puella","Species","PointLoc",6
"SimForest","T14","Harpactes duvaucelii","Species","PointLoc",5
"SimForest","T14","Buceros rhinoceros","Species","PointLoc",5
"SimForest","T14","Anorrhinus galeritus","Species","PointLoc",8
"SimForest","T14","Arachnothera longirostra","Species","PointLoc",15
"SimForest","T14","Zosterops palpebrosus","Species","PointLoc",2
"SimForest","T15","Pycnonotus aurigaster","Species","PointLoc",10
"SimForest","T15","Halcyon smyrnensis","Species","PointLoc",6
"SimForest","T15","Kittacincla malabarica","Species","PointLoc",20
"SimForest","T15","Aegithina tiphia","Species","PointLoc",9
"SimForest","T15","Alcippe brunneicauda","Species","PointLoc",9
"SimForest","T15","Alophoixus tephrogenys","Species","PointLoc",4
"SimForest","T15","Anthracoceros malayanus","Species","PointLoc",3
"SimForest","T15","Anthreptes simplex","Species","PointLoc",5
"SimForest","T15","Actenoides concretus","Species","PointLoc",7
"SimForest","T15","Copsychus saularis","Species","PointLoc",13
"SimForest","T15","Pycnonotus goiavier","Species","PointLoc",7
"SimForest","T15","Pycnonotus plumosus","Species","PointLoc",4
"SimForest","T15","Dicaeum trigonostigma","Species","PointLoc",5
"SimForest","T15","Cinnyris jugularis","Species","PointLoc",9
"SimForest","T15","Orthotomus ruficeps","Species","PointLoc",6
"SimForest","T15","Prinia flaviventris","Species","PointLoc",12
"SimForest","T15","Ficedula mugimaki","Species","PointLoc",8
"SimForest","T15","Terpsiphone paradisi","Species","PointLoc",2
"SimForest","T15","Hemipus hirundinaceus","Species","PointLoc",13
"SimForest","T15","Rhipidura javanica","Species","PointLoc",5
"SimForest","T15","Lanius schach","Species","PointLoc",7
"SimForest","T15","Oriolus xanthonotus","Species","PointLoc",5
"SimForest","T15","Dicrurus paradiseus","Species","PointLoc",16
"SimForest","T15","Chloropsis sonnerati","Species","PointLoc",8
"SimForest","T15","Irena puella","Species","PointLoc",3
"SimForest","T15","Harpactes duvaucelii","Species","PointLoc",4
"SimForest","T15","Buceros rhinoceros","Species","PointLoc",7
"SimForest","T15","Anorrhinus galeritus","Species","PointLoc",13
"SimForest","T15","Arachnothera longirostra","Species","PointLoc",10
"SimForest","T15","Zosterops palpebrosus","Species","PointLoc",1
"SimForest","T16","Pycnonotus aurigaster","Species","PointLoc",3
"SimForest","T16","Halcyon smyrnensis","Species","PointLoc",1
"SimForest","T16","Kittacincla malabarica","Species","PointLoc",6
"SimForest","T16","Aegithina tiphia","Species","PointLoc",1
"SimForest","T16","Alophoixus tephrogenys","Species","PointLoc",2
"SimForest","T16","Anthracoceros malayanus","Species","PointLoc",2
"SimForest","T16","Anthreptes simplex","Species","PointLoc",2
"SimForest","T16","Actenoides concretus","Species","PointLoc",2
"SimForest","T16","Copsychus saularis","Species","PointLoc",3
"SimForest","T16","Pycnonotus goiavier","Species","PointLoc",3
"SimForest","T16","Pycnonotus plumosus","Species","PointLoc",3
"SimForest","T16","Cinnyris jugularis","Species","PointLoc",3
"SimForest","T16","Prinia flaviventris","Species","PointLoc",3
"SimForest","T16","Ficedula mugimaki","Species","PointLoc",2
