"Landscape","Transect","Scientific.Name","Taxon.Rank"
"SimForest","T02","Presbytis melalophos","Species"
"SimForest","T02","Presbytis melalophos","Species"
"SimForest","T02","Presbytis melalophos","Species"
"SimForest","T02","Hylobates lar","Species"
"SimForest","T02","Hylobates lar","Species"
"SimForest","T02","Hylobates lar","Species"
"SimForest","T02","Hylobates lar","Species"
"SimForest","T02","Hylobates lar","Species"
"SimForest","T02","Hylobates lar","Species"
"SimForest","T02","Hylobates lar","Species"
"SimForest","T02","Hylobates lar","Species"
"SimForest","T02","Sus scrofa","Species"
"SimForest","T02","Sus scrofa","Species"
"SimForest","T02","Muntiacus muntjak","Species"
"SimForest","T02","Tragulus javanicus","Species"
"SimForest","T02","Tragulus javanicus","Species"
"SimForest","T02","Tragulus javanicus","Species"
"SimForest","T02","Tragulus javanicus","Species"
"SimForest","T02","Tragulus javanicus","Species"
"SimForest","T02","Tragulus javanicus","Species"
"SimForest","T02","Tragulus javanicus","Species"
"SimForest","T02","Tragulus javanicus","Species"
"SimForest","T02","Paradoxurus hermaphroditus","Species"
"SimForest","T02","Paradoxurus hermaphroditus","Species"
"SimForest","T02","Paradoxurus hermaphroditus","Species"
"SimForest","T02","Paradoxurus hermaphroditus","Species"
"SimForest","T02","Paradoxurus hermaphroditus","Species"
"SimForest","T02","Ratufa bicolor","Species"
"SimForest","T02","Ratufa bicolor","Species"
"SimForest","T02","Ratufa bicolor","Species"
"SimForest","T02","Ratufa bicolor","Species"
"SimForest","T02","Hystrix brachyura","Species"
"SimForest","T02","Hystrix brachyura","Species"
"SimForest","T02","Hystrix brachyura","Species"
"SimForest","T02","Hystrix brachyura","Species"
"SimForest","T02","Hystrix brachyura","Species"
"SimForest","T02","Hystrix brachyura","Species"
"SimForest","T02","Hystrix brachyura","Species"
"SimForest","T02","Hystrix brachyura","Species"
"SimForest","T02","Hystrix brachyura","Species"
"SimForest","T02","Hystrix brachyura","Species"
"SimForest","T02","Hystrix brachyura","Species"
"SimForest","T02","Hystrix brachyura","Species"
"SimForest","T02","Hystrix brachyura","Species"
"SimForest","T02","Hystrix brachyura","Species"
"SimForest","T02","Tupaia glis","Species"
"SimForest","T02","Tupaia glis","Species"
"SimForest","T02","Nycticebus coucang","Species"
"SimForest","T02","Nycticebus coucang","Species"
"SimForest","T02","Nycticebus coucang","Species"
"SimForest","T02","Nycticebus coucang","Species"
"SimForest","T02","Nycticebus coucang","Species"
"SimForest","T02","Nycticebus coucang","Species"
"SimForest","T02","Arctictis binturong","Species"
"SimForest","T03","Macaca fascicularis","Species"
"SimForest","T03","Macaca fascicularis","Species"
"SimForest","T03","Presbytis melalophos","Species"
"SimForest","T03","Presbytis melalophos","Species"
"SimForest","T03","Presbytis melalophos","Species"
"SimForest","T03","Presbytis melalophos","Species"
"SimForest","T03","Hylobates lar","Species"
"SimForest","T03","Sus scrofa","Species"
"SimForest","T03","Tragulus javanicus","Species"
"SimForest","T03","Tragulus javanicus","Species"
"SimForest","T03","Tragulus javanicus","Species"
"SimForest","T03","Tragulus javanicus","Species"
"SimForest","T03","Tragulus javanicus","Species"
"SimForest","T03","Tragulus javanicus","Species"
"SimForest","T03","Tragulus javanicus","Species"
"SimForest","T03","Tragulus javanicus","Species"
"SimForest","T03","Tragulus javanicus","Species"
"SimForest","T03","Tragulus javanicus","Species"
"SimForest","T03","Tragulus javanicus","Species"
"SimForest","T03","Tragulus javanicus","Species"
"SimForest","T03","Paradoxurus hermaphroditus","Species"
"SimForest","T03","Ratufa bicolor","Species"
"SimForest","T03","Ratufa bicolor","Species"
"SimForest","T03","Ratufa bicolor","Species"
"SimForest","T03","Ratufa bicolor","Species"
"SimForest","T03","Ratufa bicolor","Species"
"SimForest","T03","Manis javanica","Species"
"SimForest","T03","Manis javanica","Species"
"SimForest","T03","Hystrix brachyura","Species"
"SimForest","T03","Hystrix brachyura","Species"
"SimForest","T03","Hystrix brachyura","Species"
"SimForest","T03","Hystrix brachyura","Species"
"SimForest","T03","Hystrix brachyura","Species"
"SimForest","T03","Hystrix brachyura","Species"
"SimForest","T03","Hystrix brachyura","Species"
"SimForest","T03","Hystrix brachyura","Species"
"SimForest","T03","Hystrix brachyura","Species"
"SimForest","T03","Hystrix brachyura","Species"
"SimForest","T03","Hystrix brachyura","Species"
"SimForest","T03","Hystrix brachyura","Species"
"SimForest","T03","Hystrix brachyura","Species"
"SimForest","T03","Tupaia glis","Species"
"SimForest","T03","Nycticebus coucang","Species"
"SimForest","T03","Nycticebus coucang","Species"
"SimForest","T03","Nycticebus coucang","Species"
"SimForest","T03","Arctictis binturong","Species"
"SimForest","T04","Macaca fascicularis","Species"
"SimForest","T04","Macaca fascicularis","Species"
"SimForest","T04","Macaca fascicularis","Species"
"SimForest","T04","Macaca fascicularis","Species"
"SimForest","T04","Macaca fascicularis","Species"
"SimForest","T04","Presbytis melalophos","Species"
"SimForest","T04","Presbytis melalophos","Species"
"SimForest","T04","Presbytis melalophos","Species"
"SimForest","T04","Presbytis melalophos","Species"
"SimForest","T04","Presbytis melalophos","Species"
"SimForest","T04","Presbytis melalophos","Species"
"SimForest","T04","Hylobates lar","Species"
"SimForest","T04","Hylobates lar","Species"
"SimForest","T04","Hylobates lar","Species"
"SimForest","T04","Hylobates lar","Species"
"SimForest","T04","Hylobates lar","Species"
"SimForest","T04","Hylobates lar","Species"
"SimForest","T04","Sus scrofa","Species"
"SimForest","T04","Sus scrofa","Species"
"SimForest","T04","Muntiacus muntjak","Species"
"SimForest","T04","Muntiacus muntjak","Species"
"SimForest","T04","Muntiacus muntjak","Species"
"SimForest","T04","Muntiacus muntjak","Species"
"SimForest","T04","Tragulus javanicus","Species"
"SimForest","T04","Tragulus javanicus","Species"
"SimForest","T04","Tragulus javanicus","Species"
"SimForest","T04","Tragulus javanicus","Species"
"SimForest","T04","Tragulus javanicus","Species"
"SimForest","T04","Tragulus javanicus","Species"
"SimForest","T04","Tragulus javanicus","Species"
"SimForest","T04","Tragulus javanicus","Species"
"SimForest","T04","Tragulus javanicus","Species"
"SimForest","T04","Tragulus javanicus","Species"
"SimForest","T04","Tragulus javanicus","Species"
"SimForest","T04","Tragulus javanicus","Species"
"SimForest","T04","Tragulus javanicus","Species"
"SimForest","T04","Tragulus javanicus","Species"
"SimForest","T04","Paradoxurus hermaphroditus","Species"
"SimForest","T04","Paradoxurus hermaphroditus","Species"
"SimForest","T04","Paradoxurus hermaphroditus","Species"
"SimForest","T04","Paradoxurus hermaphroditus","Species"
"SimForest","T04","Paradoxurus hermaphroditus","Species"
"SimForest","T04","Viverra tangalunga","Species"
"SimForest","T04","Viverra tangalunga","Species"
"SimForest","T04","Ratufa bicolor","Species"
"SimForest","T04","Ratufa bicolor","Species"
"SimForest","T04","Ratufa bicolor","Species"
"SimForest","T04","Ratufa bicolor","Species"
"SimForest","T04","Ratufa bicolor","Species"
"SimForest","T04","Callosciurus notatus","Species"
"SimForest","T04","Callosciurus notatus","Species"
"SimForest","T04","Manis javanica","Species"
"SimForest","T04","Hystrix brachyura","Species"
"SimForest","T04","Hystrix brachyura","Species"
"SimForest","T04","Hystrix brachyura","Species"
"SimForest","T04","Hystrix brachyura","Species"
"SimForest","T04","Hystrix brachyura","Species"
"SimForest","T04","Hystrix brachyura","Species"
"SimForest","T04","Hystrix brachyura","Species"
"SimForest","T04","Hystrix brachyura","Species"
"SimForest","T04","Hystrix brachyura","Species"
"SimForest","T04","Hystrix brachyura","Species"
"SimForest","T04","Hystrix brachyura","Species"
"SimForest","T04","Hystrix brachyura","Species"
"SimForest","T04","Hystrix brachyura","Species"
"SimForest","T04","Hystrix brachyura","Species"
"SimForest","T04","Hystrix brachyura","Species"
"SimForest","T04","Tupaia glis","Species"
"SimForest","T04","Tupaia glis","Species"
"SimForest","T04","Tupaia glis","Species"
"SimForest","T04","Tupaia glis","Species"
"SimForest","T04","Nycticebus coucang","Species"
"SimForest","T04","Nycticebus coucang","Species"
"SimForest","T04","Nycticebus coucang","Species"
"SimForest","T04","Nycticebus coucang","Species"
"SimForest","T04","Nycticebus coucang","Species"
"SimForest","T04","Nycticebus coucang","Species"
"SimForest","T04","Nycticebus coucang","Species"
"SimForest","T04","Nycticebus coucang","Species"
"SimForest","T04","Nycticebus coucang","Species"
"SimForest","T04","Arctictis binturong","Species"
"SimForest","T04","Arctictis binturong","Species"
"SimForest","T05","Macaca fascicularis","Species"
"SimForest","T05","Macaca fascicularis","Species"
"SimForest","T05","Macaca fascicularis","Species"
"SimForest","T05","Macaca fascicularis","Species"
"SimForest","T05","Presbytis melalophos","Species"
"SimForest","T05","Presbytis melalophos","Species"
"SimForest","T05","Presbytis melalophos","Species"
"SimForest","T05","Presbytis melalophos","Species"
"SimForest","T05","Presbytis melalophos","Species"
"SimForest","T05","Presbytis melalophos","Species"
"SimForest","T05","Presbytis melalophos","Species"
"SimForest","T05","Presbytis melalophos","Species"
"SimForest","T05","Presbytis melalophos","Species"
"SimForest","T05","Hylobates lar","Species"
"SimForest","T05","Hylobates lar","Species"
"SimForest","T05","Hylobates lar","Species"
"SimForest","T05","Hylobates lar","Species"
"SimForest","T05","Muntiacus muntjak","Species"
"SimForest","T05","Tragulus javanicus","Species"
"SimForest","T05","Tragulus javanicus","Species"
"SimForest","T05","Tragulus javanicus","Species"
"SimForest","T05","Tragulus javanicus","Species"
"SimForest","T05","Tragulus javanicus","Species"
"SimForest","T05","Tragulus javanicus","Species"
"SimForest","T05","Tragulus javanicus","Species"
"SimForest","T05","Tragulus javanicus","Species"
"SimForest","T05","Tragulus javanicus","Species"
"SimForest","T05","Tragulus javanicus","Species"
"SimForest","T05","Tragulus javanicus","Species"
"SimForest","T05","Paradoxurus hermaphroditus","Species"
"SimForest","T05","Paradoxurus hermaphroditus","Species"
"SimForest","T05","Paradoxurus hermaphroditus","Species"
"SimForest","T05","Viverra tangalunga","Species"
"SimForest","T05","Ratufa bicolor","Species"
"SimForest","T05","Ratufa bicolor","Species"
"SimForest","T05","Ratufa bicolor","Species"
"SimForest","T05","Ratufa bicolor","Species"
"SimForest","T05","Ratufa bicolor","Species"
"SimForest","T05","Callosciurus notatus","Species"
"SimForest","T05","Manis javanica","Species"
"SimForest","T05","Manis javanica","Species"
"SimForest","T05","Manis javanica","Species"
"SimForest","T05","Hystrix brachyura","Species"
"SimForest","T05","Hystrix brachyura","Species"
"SimForest","T05","Hystrix brachyura","Species"
"SimForest","T05","Hystrix brachyura","Species"
"SimForest","T05","Hystrix brachyura","Species"
"SimForest","T05","Hystrix brachyura","Species"
"SimForest","T05","Hystrix brachyura","Species"
"SimForest","T05","Hystrix brachyura","Species"
"SimForest","T05","Hystrix brachyura","Species"
"SimForest","T05","Hystrix brachyura","Species"
"SimForest","T05","Hystrix brachyura","Species"
"SimForest","T05","Hystrix brachyura","Species"
"SimForest","T05","Hystrix brachyura","Species"
"SimForest","T05","Tupaia glis","Species"
"SimForest","T05","Tupaia glis","Species"
"SimForest","T05","Nycticebus coucang","Species"
"SimForest","T05","Nycticebus coucang","Species"
"SimForest","T05","Nycticebus coucang","Species"
"SimForest","T05","Nycticebus coucang","Species"
"SimForest","T05","Arctictis binturong","Species"
"SimForest","T06","Presbytis melalophos","Species"
"SimForest","T06","Presbytis melalophos","Species"
"SimForest","T06","Presbytis melalophos","Species"
"SimForest","T06","Presbytis melalophos","Species"
"SimForest","T06","Hylobates lar","Species"
"SimForest","T06","Hylobates lar","Species"
"SimForest","T06","Hylobates lar","Species"
"SimForest","T06","Hylobates lar","Species"
"SimForest","T06","Hylobates lar","Species"
"SimForest","T06","Sus scrofa","Species"
"SimForest","T06","Sus scrofa","Species"
"SimForest","T06","Tragulus javanicus","Species"
"SimForest","T06","Tragulus javanicus","Species"
"SimForest","T06","Tragulus javanicus","Species"
"SimForest","T06","Tragulus javanicus","Species"
"SimForest","T06","Tragulus javanicus","Species"
"SimForest","T06","Ratufa bicolor","Species"
"SimForest","T06","Manis javanica","Species"
"SimForest","T06","Manis javanica","Species"
"SimForest","T06","Manis javanica","Species"
"SimForest","T06","Hystrix brachyura","Species"
"SimForest","T06","Tupaia glis","Species"
"SimForest","T06","Nycticebus coucang","Species"
"SimForest","T06","Nycticebus coucang","Species"
"SimForest","T06","Nycticebus coucang","Species"
"SimForest","T07","Macaca fascicularis","Species"
"SimForest","T07","Presbytis melalophos","Species"
"SimForest","T07","Presbytis melalophos","Species"
"SimForest","T07","Presbytis melalophos","Species"
"SimForest","T07","Presbytis melalophos","Species"
"SimForest","T07","Presbytis melalophos","Species"
"SimForest","T07","Hylobates lar","Species"
"SimForest","T07","Hylobates lar","Species"
"SimForest","T07","Sus scrofa","Species"
"SimForest","T07","Sus scrofa","Species"
"SimForest","T07","Sus scrofa","Species"
"SimForest","T07","Muntiacus muntjak","Species"
"SimForest","T07","Muntiacus muntjak","Species"
"SimForest","T07","Muntiacus muntjak","Species"
"SimForest","T07","Tragulus javanicus","Species"
"SimForest","T07","Tragulus javanicus","Species"
"SimForest","T07","Tragulus javanicus","Species"
"SimForest","T07","Tragulus javanicus","Species"
"SimForest","T07","Tragulus javanicus","Species"
"SimForest","T07","Tragulus javanicus","Species"
"SimForest","T07","Tragulus javanicus","Species"
"SimForest","T07","Tragulus javanicus","Species"
"SimForest","T07","Paradoxurus hermaphroditus","Species"
"SimForest","T07","Paradoxurus hermaphroditus","Species"
"SimForest","T07","Paradoxurus hermaphroditus","Species"
"SimForest","T07","Ratufa bicolor","Species"
"SimForest","T07","Ratufa bicolor","Species"
"SimForest","T07","Ratufa bicolor","Species"
"SimForest","T07","Ratufa bicolor","Species"
"SimForest","T07","Manis javanica","Species"
"SimForest","T07","Manis javanica","Species"
"SimForest","T07","Manis javanica","Species"
"SimForest","T07","Manis javanica","Species"
"SimForest","T07","Hystrix brachyura","Species"
"SimForest","T07","Hystrix brachyura","Species"
"SimForest","T07","Hystrix brachyura","Species"
"SimForest","T07","Hystrix brachyura","Species"
"SimForest","T07","Hystrix brachyura","Species"
"SimForest","T07","Hystrix brachyura","Species"
"SimForest","T07","Hystrix brachyura","Species"
"SimForest","T07","Hystrix brachyura","Species"
"SimForest","T07","Tupaia glis","Species"
"SimForest","T07","Tupaia glis","Species"
"SimForest","T07","Nycticebus coucang","Species"
"SimForest","T07","Nycticebus coucang","Species"
"SimForest","T08","Macaca fascicularis","Species"
"SimForest","T08","Macaca fascicularis","Species"
"SimForest","T08","Presbytis melalophos","Species"
"SimForest","T08","Presbytis melalophos","Species"
"SimForest","T08","Presbytis melalophos","Species"
"SimForest","T08","Hylobates lar","Species"
"SimForest","T08","Hylobates lar","Species"
"SimForest","T08","Sus scrofa","Species"
"SimForest","T08","Sus scrofa","Species"
"SimForest","T08","Tragulus javanicus","Species"
"SimForest","T08","Tragulus javanicus","Species"
"SimForest","T08","Ratufa bicolor","Species"
"SimForest","T08","Ratufa bicolor","Species"
"SimForest","T08","Callosciurus notatus","Species"
"SimForest","T08","Manis javanica","Species"
"SimForest","T08","Hystrix brachyura","Species"
"SimForest","T08","Hystrix brachyura","Species"
"SimForest","T08","Hystrix brachyura","Species"
"SimForest","T08","Hystrix brachyura","Species"
"SimForest","T08","Tupaia glis","Species"
"SimForest","T08","Nycticebus coucang","Species"
"SimForest","T08","Nycticebus coucang","Species"
"SimForest","T08","Arctictis binturong","Species"
"SimForest","T09","Macaca fascicularis","Species"
"SimForest","T09","Macaca fascicularis","Species"
"SimForest","T09","Macaca fascicularis","Species"
"SimForest","T09","Presbytis melalophos","Species"
"SimForest","T09","Presbytis melalophos","Species"
"SimForest","T09","Presbytis melalophos","Species"
"SimForest","T09","Presbytis melalophos","Species"
"SimForest","T09","Presbytis melalophos","Species"
"SimForest","T09","Presbytis melalophos","Species"
"SimForest","T09","Presbytis melalophos","Species"
"SimForest","T09","Presbytis melalophos","Species"
"SimForest","T09","Presbytis melalophos","Species"
"SimForest","T09","Presbytis melalophos","Species"
"SimForest","T09","Presbytis melalophos","Species"
"SimForest","T09","Presbytis melalophos","Species"
"SimForest","T09","Presbytis melalophos","Species"
"SimForest","T09","Presbytis melalophos","Species"
"SimForest","T09","Hylobates lar","Species"
"SimForest","T09","Hylobates lar","Species"
"SimForest","T09","Hylobates lar","Species"
"SimForest","T09","Hylobates lar","Species"
"SimForest","T09","Hylobates lar","Species"
"SimForest","T09","Sus scrofa","Species"
"SimForest","T09","Sus scrofa","Species"
"SimForest","T09","Sus scrofa","Species"
"SimForest","T09","Sus scrofa","Species"
"SimForest","T09","Muntiacus muntjak","Species"
"SimForest","T09","Muntiacus muntjak","Species"
"SimForest","T09","Muntiacus muntjak","Species"
"SimForest","T09","Muntiacus muntjak","Species"
"SimForest","T09","Muntiacus muntjak","Species"
"SimForest","T09","Tragulus javanicus","Species"
"SimForest","T09","Tragulus javanicus","Species"
"SimForest","T09","Tragulus javanicus","Species"
"SimForest","T09","Tragulus javanicus","Species"
"SimForest","T09","Tragulus javanicus","Species"
"SimForest","T09","Tragulus javanicus","Species"
"SimForest","T09","Tragulus javanicus","Species"
"SimForest","T09","Tragulus javanicus","Species"
"SimForest","T09","Tragulus javanicus","Species"
"SimForest","T09","Tragulus javanicus","Species"
"SimForest","T09","Tragulus javanicus","Species"
"SimForest","T09","Tragulus javanicus","Species"
"SimForest","T09","Tragulus javanicus","Species"
"SimForest","T09","Paradoxurus hermaphroditus","Species"
"SimForest","T09","Paradoxurus hermaphroditus","Species"
"SimForest","T09","Paradoxurus hermaphroditus","Species"
"SimForest","T09","Paradoxurus hermaphroditus","Species"
"SimForest","T09","Paradoxurus hermaphroditus","Species"
"SimForest","T09","Viverra tangalunga","Species"
"SimForest","T09","Viverra tangalunga","Species"
"SimForest","T09","Ratufa bicolor","Species"
"SimForest","T09","Callosciurus notatus","Species"
"SimForest","T09","Callosciurus notatus","Species"
"SimForest","T09","Callosciurus notatus","Species"
"SimForest","T09","Callosciurus notatus","Species"
"SimForest","T09","Manis javanica","Species"
"SimForest","T09","Manis javanica","Species"
"SimForest","T09","Manis javanica","Species"
"SimForest","T09","Manis javanica","Species"
"SimForest","T09","Hystrix brachyura","Species"
"SimForest","T09","Hystrix brachyura","Species"
"SimForest","T09","Hystrix brachyura","Species"
"SimForest","T09","Hystrix brachyura","Species"
"SimForest","T09","Hystrix brachyura","Species"
"SimForest","T09","Hystrix brachyura","Species"
"SimForest","T09","Hystrix brachyura","Species"
"SimForest","T09","Hystrix brachyura","Species"
"SimForest","T09","Hystrix brachyura","Species"
"SimForest","T09","Hystrix brachyura","Species"
"SimForest","T09","Tupaia glis","Species"
"SimForest","T09","Tupaia glis","Species"
"SimForest","T09","Tupaia glis","Species"
"SimForest","T09","Tupaia glis","Species"
"SimForest","T09","Tupaia glis","Species"
"SimForest","T09","Tupaia glis","Species"
"SimForest","T09","Tupaia glis","Species"
"SimForest","T09","Tupaia glis","Species"
"SimForest","T09","Tupaia glis","Species"
"SimForest","T09","Nycticebus coucang","Species"
"SimForest","T09","Nycticebus coucang","Species"
"SimForest","T09","Nycticebus coucang","Species"
"SimForest","T09","Nycticebus coucang","Species"
"SimForest","T09","Nycticebus coucang","Species"
"SimForest","T09","Nycticebus coucang","Species"
"SimForest","T09","Nycticebus coucang","Species"
"SimForest","T09","Nycticebus coucang","Species"
"SimForest","T09","Nycticebus coucang","Species"
"SimForest","T09","Nycticebus coucang","Species"
"SimForest","T09","Arctictis binturong","Species"
"SimForest","T10","Macaca fascicularis","Species"
"SimForest","T10","Presbytis melalophos","Species"
"SimForest","T10","Hylobates lar","Species"
"SimForest","T10","Sus scrofa","Species"
"SimForest","T10","Tragulus javanicus","Species"
"SimForest","T10","Tragulus javanicus","Species"
"SimForest","T10","Tragulus javanicus","Species"
"SimForest","T10","Paradoxurus hermaphroditus","Species"
"SimForest","T10","Viverra tangalunga","Species"
"SimForest","T10","Viverra tangalunga","Species"
"SimForest","T10","Viverra tangalunga","Species"
"SimForest","T10","Ratufa bicolor","Species"
"SimForest","T10","Ratufa bicolor","Species"
"SimForest","T10","Ratufa bicolor","Species"
"SimForest","T10","Callosciurus notatus","Species"
"SimForest","T10","Manis javanica","Species"
"SimForest","T10","Manis javanica","Species"
"SimForest","T10","Manis javanica","Species"
"SimForest","T10","Hystrix brachyura","Species"
"SimForest","T10","Hystrix brachyura","Species"
"SimForest","T10","Hystrix brachyura","Species"
"SimForest","T10","Hystrix brachyura","Species"
"SimForest","T10","Hystrix brachyura","Species"
"SimForest","T10","Hystrix brachyura","Species"
"SimForest","T10","Hystrix brachyura","Species"
"SimForest","T10","Hystrix brachyura","Species"
"SimForest","T10","Hystrix brachyura","Species"
"SimForest","T10","Hystrix brachyura","Species"
"SimForest","T10","Tupaia glis","Species"
"SimForest","T10","Nycticebus coucang","Species"
"SimForest","T10","Nycticebus coucang","Species"
"SimForest","T10","Nycticebus coucang","Species"
"SimForest","T10","Nycticebus coucang","Species"
"SimForest","T10","Nycticebus coucang","Species"
"SimForest","T10","Arctictis binturong","Species"
"SimForest","T10","Arctictis binturong","Species"
"SimForest","T11","Macaca fascicularis","Species"
"SimForest","T11","Macaca fascicularis","Species"
"SimForest","T11","Presbytis melalophos","Species"
"SimForest","T11","Presbytis melalophos","Species"
"SimForest","T11","Presbytis melalophos","Species"
"SimForest","T11","Presbytis melalophos","Species"
"SimForest","T11","Presbytis melalophos","Species"
"SimForest","T11","Presbytis melalophos","Species"
"SimForest","T11","Presbytis melalophos","Species"
"SimForest","T11","Presbytis melalophos","Species"
"SimForest","T11","Hylobates lar","Species"
"SimForest","T11","Hylobates lar","Species"
"SimForest","T11","Hylobates lar","Species"
"SimForest","T11","Hylobates lar","Species"
"SimForest","T11","Hylobates lar","Species"
"SimForest","T11","Hylobates lar","Species"
"SimForest","T11","Sus scrofa","Species"
"SimForest","T11","Sus scrofa","Species"
"SimForest","T11","Muntiacus muntjak","Species"
"SimForest","T11","Muntiacus muntjak","Species"
"SimForest","T11","Muntiacus muntjak","Species"
"SimForest","T11","Tragulus javanicus","Species"
"SimForest","T11","Tragulus javanicus","Species"
"SimForest","T11","Tragulus javanicus","Species"
"SimForest","T11","Tragulus javanicus","Species"
"SimForest","T11","Tragulus javanicus","Species"
"SimForest","T11","Tragulus javanicus","Species"
"SimForest","T11","Tragulus javanicus","Species"
"SimForest","T11","Tragulus javanicus","Species"
"SimForest","T11","Tragulus javanicus","Species"
"SimForest","T11","Paradoxurus hermaphroditus","Species"
"SimForest","T11","Paradoxurus hermaphroditus","Species"
"SimForest","T11","Paradoxurus hermaphroditus","Species"
"SimForest","T11","Paradoxurus hermaphroditus","Species"
"SimForest","T11","Ratufa bicolor","Species"
"SimForest","T11","Ratufa bicolor","Species"
"SimForest","T11","Ratufa bicolor","Species"
"SimForest","T11","Ratufa bicolor","Species"
"SimForest","T11","Callosciurus notatus","Species"
"SimForest","T11","Callosciurus notatus","Species"
"SimForest","T11","Callosciurus notatus","Species"
"SimForest","T11","Callosciurus notatus","Species"
"SimForest","T11","Manis javanica","Species"
"SimForest","T11","Manis javanica","Species"
"SimForest","T11","Manis javanica","Species"
"SimForest","T11","Manis javanica","Species"
"SimForest","T11","Hystrix brachyura","Species"
"SimForest","T11","Hystrix brachyura","Species"
"SimForest","T11","Hystrix brachyura","Species"
"SimForest","T11","Hystrix brachyura","Species"
"SimForest","T11","Hystrix brachyura","Species"
"SimForest","T11","Hystrix brachyura","Species"
"SimForest","T11","Hystrix brachyura","Species"
"SimForest","T11","Hystrix brachyura","Species"
"SimForest","T11","Hystrix brachyura","Species"
"SimForest","T11","Hystrix brachyura","Species"
"SimForest","T11","Tupaia glis","Species"
"SimForest","T11","Tupaia glis","Species"
"SimForest","T11","Tupaia glis","Species"
"SimForest","T11","Tupaia glis","Species"
"SimForest","T11","Tupaia glis","Species"
"SimForest","T11","Tupaia glis","Species"
"SimForest","T11","Tupaia glis","Species"
"SimForest","T11","Tupaia glis","Species"
"SimForest","T11","Nycticebus coucang","Species"
"SimForest","T11","Nycticebus coucang","Species"
"SimForest","T11","Nycticebus coucang","Species"
"SimForest","T11","Nycticebus coucang","Species"
