"Landscape","Transect","Plot.ID","Tree.ID","Scientific.Name","Taxon.Rank","Class","DBH","TT"
"SimForest","T01","T01_P1","T01_P1_5","Dryobalanops aromatica","Species","C",14.3,14.5
"SimForest","T01","T01_P4","T01_P4_1","Syzygium polyanthum","Species","C",14.5,13
"SimForest","T01","T01_P2","T01_P2_2","Syzygium polyanthum","Species","C",14,12.3
"SimForest","T01","T01_P2","T01_P2_3","Syzygium polyanthum","Species","C",12.7,12.3
"SimForest","T01","T01_P2","T01_P2_4","Syzygium polyanthum","Species","C",6.4,8.5
"SimForest","T01","T01_P1","T01_P1_5","Syzygium polyanthum","Species","A",38.6,27.4
"SimForest","T01","T01_P4","T01_P4_6","Syzygium polyanthum","Species","C",8.7,10.9
"SimForest","T01","T01_P3","T01_P3_7","Syzygium polyanthum","Species","C",11.1,11.9
"SimForest","T01","T01_P1","T01_P1_8","Syzygium polyanthum","Species","C",14,12.1
"SimForest","T01","T01_P2","T01_P2_1","Syzygium claviflorum","Species","B",20.8,16.2
"SimForest","T01","T01_P4","T01_P4_2","Syzygium claviflorum","Species","C",6.7,9.1
"SimForest","T01","T01_P1","T01_P1_3","Syzygium claviflorum","Species","A",67,41.2
"SimForest","T01","T01_P1","T01_P1_1","Dacryodes rostrata","Species","A",58.4,39.3
"SimForest","T01","T01_P2","T01_P2_2","Dacryodes rostrata","Species","C",11.5,12.4
"SimForest","T01","T01_P2","T01_P2_3","Dacryodes rostrata","Species","C",15.7,14.8
"SimForest","T01","T01_P3","T01_P3_4","Dacryodes rostrata","Species","B",18.1,14.8
"SimForest","T01","T01_P5","T01_P5_5","Dacryodes rostrata","Species","B",26.1,19.8
"SimForest","T01","T01_P2","T01_P2_6","Dacryodes rostrata","Species","C",6.4,8.7
"SimForest","T01","T01_P3","T01_P3_7","Dacryodes rostrata","Species","C",10.9,10.9
"SimForest","T01","T01_P5","T01_P5_1","Diospyros macrophylla","Species","A",70.3,46.7
"SimForest","T01","T01_P1","T01_P1_2","Diospyros macrophylla","Species","C",13.1,12.4
"SimForest","T01","T01_P2","T01_P2_1","Ficus benjamina","Species","B",30,21.2
"SimForest","T01","T01_P4","T01_P4_2","Ficus benjamina","Species","C",12.9,12.3
"SimForest","T01","T01_P3","T01_P3_1","Ficus variegata","Species","B",25.2,21.8
"SimForest","T01","T01_P2","T01_P2_1","Artocarpus elasticus","Species","B",20.1,15.1
"SimForest","T01","T01_P2","T01_P2_2","Artocarpus elasticus","Species","B",24,19.1
"SimForest","T01","T01_P3","T01_P3_1","Durio zibethinus","Species","A",70,42.4
"SimForest","T01","T01_P3","T01_P3_2","Durio zibethinus","Species","A",54,39.3
"SimForest","T01","T01_P3","T01_P3_3","Durio zibethinus","Species","C",11.3,11.3
"SimForest","T01","T01_P2","T01_P2_1","Koompassia excelsa","Species","B",23.8,19.7
"SimForest","T01","T01_P5","T01_P5_2","Koompassia excelsa","Species","C",10.4,11.2
"SimForest","T01","T01_P2","T01_P2_3","Koompassia excelsa","Species","A",56.9,39.2
"SimForest","T01","T01_P2","T01_P2_4","Koompassia excelsa","Species","C",14.9,15
"SimForest","T01","T01_P2","T01_P2_1","Dyera costulata","Species","C",7.1,9.5
"SimForest","T01","T01_P5","T01_P5_2","Dyera costulata","Species","A",34.8,22.6
"SimForest","T01","T01_P3","T01_P3_3","Dyera costulata","Species","B",21.8,17.7
"SimForest","T01","T01_P3","T01_P3_4","Dyera costulata","Species","C",14,13.7
"SimForest","T01","T01_P2","T01_P2_5","Dyera costulata","Species","C",7,9
"SimForest","T01","T01_P2","T01_P2_1","Palaquium rostratum","Species","C",12.1,11.6
"SimForest","T01","T01_P3","T01_P3_2","Palaquium rostratum","Species","B",21.6,17
"SimForest","T01","T01_P3","T01_P3_3","Palaquium rostratum","Species","C",8.8,10.5
"SimForest","T01","T01_P5","T01_P5_4","Palaquium rostratum","Species","C",15.4,15.1
"SimForest","T01","T01_P2","T01_P2_5","Palaquium rostratum","Species","C",7.4,9
"SimForest","T01","T01_P3","T01_P3_1","Santiria laevigata","Species","B",23.9,20.3
"SimForest","T01","T01_P4","T01_P4_2","Santiria laevigata","Species","B",28.6,19.4
"SimForest","T01","T01_P2","T01_P2_3","Santiria laevigata","Species","C",8.4,10.2
"SimForest","T01","T01_P5","T01_P5_4","Santiria laevigata","Species","C",11.4,12.8
"SimForest","T01","T01_P2","T01_P2_5","Santiria laevigata","Species","C",12.7,13.2
"SimForest","T01","T01_P5","T01_P5_1","Aglaia argentea","Species","B",25.8,20.6
"SimForest","T01","T01_P3","T01_P3_1","Knema laurina","Species","B",23.1,20.1
"SimForest","T01","T01_P5","T01_P5_2","Knema laurina","Species","B",18,15.4
"SimForest","T01","T01_P3","T01_P3_3","Knema laurina","Species","B",22.6,16.8
"SimForest","T01","T01_P1","T01_P1_1","Horsfieldia irya","Species","C",8.8,10.3
"SimForest","T01","T01_P2","T01_P2_2","Horsfieldia irya","Species","C",6.8,9.7
"SimForest","T01","T01_P4","T01_P4_3","Horsfieldia irya","Species","C",14.2,12.4
"SimForest","T01","T01_P3","T01_P3_1","Litsea firma","Species","A",49,34.7
"SimForest","T01","T01_P4","T01_P4_2","Litsea firma","Species","C",8.1,9.4
"SimForest","T01","T01_P1","T01_P1_3","Litsea firma","Species","C",12.3,12.1
"SimForest","T01","T01_P5","T01_P5_4","Litsea firma","Species","B",17.6,14.7
"SimForest","T01","T01_P5","T01_P5_5","Litsea firma","Species","B",28.2,22.1
"SimForest","T01","T01_P3","T01_P3_6","Litsea firma","Species","B",17.6,14.5
"SimForest","T01","T01_P3","T01_P3_1","Baccaurea macrocarpa","Species","A",69.4,50.7
"SimForest","T01","T01_P2","T01_P2_2","Baccaurea macrocarpa","Species","C",13.7,14
"SimForest","T01","T01_P1","T01_P1_3","Baccaurea macrocarpa","Species","B",21.9,18.6
"SimForest","T01","T01_P3","T01_P3_4","Baccaurea macrocarpa","Species","B",30.5,21.8
"SimForest","T01","T01_P2","T01_P2_5","Baccaurea macrocarpa","Species","B",26.3,22.4
"SimForest","T01","T01_P1","T01_P1_6","Baccaurea macrocarpa","Species","C",12.3,11.7
"SimForest","T01","T01_P4","T01_P4_7","Baccaurea macrocarpa","Species","B",19.9,16.5
"SimForest","T01","T01_P1","T01_P1_1","Garcinia parvifolia","Species","B",22.3,18.3
"SimForest","T01","T01_P1","T01_P1_2","Garcinia parvifolia","Species","C",7.8,10.2
"SimForest","T01","T01_P3","T01_P3_3","Garcinia parvifolia","Species","C",10,10.9
"SimForest","T01","T01_P2","T01_P2_4","Garcinia parvifolia","Species","C",9.9,11
"SimForest","T01","T01_P2","T01_P2_5","Garcinia parvifolia","Species","A",50.2,33.8
"SimForest","T01","T01_P2","T01_P2_6","Garcinia parvifolia","Species","B",25.2,18.7
"SimForest","T01","T01_P3","T01_P3_7","Garcinia parvifolia","Species","C",13,14
"SimForest","T01","T01_P1","T01_P1_1","Alstonia scholaris","Species","B",20.3,18.6
"SimForest","T01","T01_P3","T01_P3_2","Alstonia scholaris","Species","C",13.8,13.1
"SimForest","T01","T01_P3","T01_P3_3","Alstonia scholaris","Species","B",17.4,14.5
"SimForest","T01","T01_P1","T01_P1_1","Calophyllum inophyllum","Species","A",39,24.9
"SimForest","T01","T01_P5","T01_P5_2","Calophyllum inophyllum","Species","A",43.6,29.6
"SimForest","T01","T01_P4","T01_P4_3","Calophyllum inophyllum","Species","C",15.8,15.6
"SimForest","T01","T01_P1","T01_P1_4","Calophyllum inophyllum","Species","C",12.2,11.3
"SimForest","T01","T01_P2","T01_P2_5","Calophyllum inophyllum","Species","B",18.1,17.5
"SimForest","T01","T01_P1","T01_P1_1","Elateriospermum tapos","Species","B",31.9,27.2
"SimForest","T01","T01_P1","T01_P1_2","Elateriospermum tapos","Species","A",41,31.3
"SimForest","T01","T01_P5","T01_P5_3","Elateriospermum tapos","Species","A",67.6,45.4
"SimForest","T01","T01_P4","T01_P4_4","Elateriospermum tapos","Species","B",18.8,16
"SimForest","T01","T01_P5","T01_P5_5","Elateriospermum tapos","Species","C",6.1,8.7
"SimForest","T01","T01_P3","T01_P3_6","Elateriospermum tapos","Species","B",21.7,18.9
"SimForest","T01","T01_P1","T01_P1_1","Eusideroxylon zwageri","Species","A",60.7,45
"SimForest","T01","T01_P1","T01_P1_2","Eusideroxylon zwageri","Species","A",35.1,25.2
"SimForest","T01","T01_P4","T01_P4_3","Eusideroxylon zwageri","Species","A",68.3,45.2
"SimForest","T01","T01_P5","T01_P5_4","Eusideroxylon zwageri","Species","A",55.8,38.9
"SimForest","T01","T01_P4","T01_P4_5","Eusideroxylon zwageri","Species","B",23.4,17.1
"SimForest","T01","T01_P1","T01_P1_6","Eusideroxylon zwageri","Species","A",59.2,39.7
"SimForest","T01","T01_P3","T01_P3_7","Eusideroxylon zwageri","Species","B",31.8,26.6
"SimForest","T01","T01_P4","T01_P4_1","Intsia palembanica","Species","C",10.9,11.6
"SimForest","T01","T01_P4","T01_P4_2","Intsia palembanica","Species","B",24.3,21.8
"SimForest","T01","T01_P1","T01_P1_3","Intsia palembanica","Species","B",21.2,17.8
"SimForest","T01","T01_P3","T01_P3_1","Macaranga gigantea","Species","B",27.3,23.1
"SimForest","T01","T01_P3","T01_P3_2","Macaranga gigantea","Species","C",7.6,9.2
"SimForest","T01","T01_P1","T01_P1_3","Macaranga gigantea","Species","C",10.7,11.9
"SimForest","T01","T01_P4","T01_P4_4","Macaranga gigantea","Species","C",6.9,9.4
"SimForest","T01","T01_P2","T01_P2_1","Mallotus paniculatus","Species","B",24.8,17.9
"SimForest","T01","T01_P2","T01_P2_2","Mallotus paniculatus","Species","C",15.6,14.9
"SimForest","T01","T01_P1","T01_P1_3","Mallotus paniculatus","Species","A",34,22.2
"SimForest","T01","T01_P2","T01_P2_4","Mallotus paniculatus","Species","C",13.4,12.7
"SimForest","T01","T01_P2","T01_P2_5","Mallotus paniculatus","Species","C",8.3,10.3
"SimForest","T01","T01_P2","T01_P2_6","Mallotus paniculatus","Species","C",9.9,11.3
"SimForest","T01","T01_P3","T01_P3_7","Mallotus paniculatus","Species","B",28.9,23
"SimForest","T01","T01_P3","T01_P3_8","Mallotus paniculatus","Species","C",14.4,12.4
"SimForest","T01","T01_P5","T01_P5_1","Nephelium lappaceum","Species","B",32,24.1
"SimForest","T01","T01_P4","T01_P4_2","Nephelium lappaceum","Species","B",22.7,20.9
"SimForest","T01","T01_P2","T01_P2_3","Nephelium lappaceum","Species","C",8.3,9.9
"SimForest","T01","T01_P3","T01_P3_4","Nephelium lappaceum","Species","B",18.2,15
"SimForest","T01","T01_P3","T01_P3_1","Parkia speciosa","Species","B",20.9,18.7
"SimForest","T01","T01_P2","T01_P2_2","Parkia speciosa","Species","C",8.9,9.6
"SimForest","T01","T01_P3","T01_P3_3","Parkia speciosa","Species","B",18.2,16.1
"SimForest","T01","T01_P3","T01_P3_4","Parkia speciosa","Species","C",10.1,10.3
"SimForest","T01","T01_P1","T01_P1_5","Parkia speciosa","Species","A",51.5,34.4
"SimForest","T01","T01_P4","T01_P4_6","Parkia speciosa","Species","C",8.1,10.5
"SimForest","T01","T01_P2","T01_P2_7","Parkia speciosa","Species","B",25.2,21.4
"SimForest","T01","T01_P5","T01_P5_8","Parkia speciosa","Species","B",20.4,15.8
"SimForest","T01","T01_P4","T01_P4_9","Parkia speciosa","Species","C",7.1,9.3
"SimForest","T01","T01_P1","T01_P1_1","Vatica rassak","Species","B",24.7,19.3
"SimForest","T01","T01_P1","T01_P1_2","Vatica rassak","Species","B",25.2,22
"SimForest","T01","T01_P5","T01_P5_3","Vatica rassak","Species","B",17.5,15
"SimForest","T01","T01_P5","T01_P5_4","Vatica rassak","Species","B",20.7,15.5
"SimForest","T01","T01_P3","T01_P3_5","Vatica rassak","Species","C",9.5,10.1
"SimForest","T02","T02_P5","T02_P5_1","Shorea leprosula","Species","C",7.1,9.8
"SimForest","T02","T02_P2","T02_P2_2","Shorea leprosula","Species","B",21,17
"SimForest","T02","T02_P2","T02_P2_3","Shorea leprosula","Species","B",17.8,14.5
"SimForest","T02","T02_P1","T02_P1_4","Shorea leprosula","Species","B",25.4,20.7
"SimForest","T02","T02_P1","T02_P1_5","Shorea leprosula","Species","C",15.7,14.7
"SimForest","T02","T02_P1","T02_P1_1","Shorea parvifolia","Species","C",15,13
"SimForest","T02","T02_P2","T02_P2_1","Shorea acuminata","Species","C",6,8.3
"SimForest","T02","T02_P1","T02_P1_2","Shorea acuminata","Species","B",19.1,16.5
"SimForest","T02","T02_P3","T02_P3_3","Shorea acuminata","Species","C",9.7,10.8
"SimForest","T02","T02_P1","T02_P1_4","Shorea acuminata","Species","B",24.4,19.8
"SimForest","T02","T02_P4","T02_P4_1","Dipterocarpus alatus","Species","A",47.5,37.6
"SimForest","T02","T02_P2","T02_P2_1","Dipterocarpus caudatus","Species","B",31,23.6
"SimForest","T02","T02_P3","T02_P3_2","Dipterocarpus caudatus","Species","C",10.3,11.6
"SimForest","T02","T02_P4","T02_P4_3","Dipterocarpus caudatus","Species","C",8.2,10.5
"SimForest","T02","T02_P3","T02_P3_4","Dipterocarpus caudatus","Species","A",53.8,33.8
"SimForest","T02","T02_P5","T02_P5_1","Hopea nervosa","Species","C",7,9.9
"SimForest","T02","T02_P5","T02_P5_2","Hopea nervosa","Species","A",40.1,25.7
"SimForest","T02","T02_P1","T02_P1_3","Hopea nervosa","Species","C",10.5,11.9
"SimForest","T02","T02_P3","T02_P3_1","Dryobalanops aromatica","Species","C",13,12
"SimForest","T02","T02_P1","T02_P1_2","Dryobalanops aromatica","Species","B",27.6,22.2
"SimForest","T02","T02_P4","T02_P4_3","Dryobalanops aromatica","Species","B",31.1,24.9
"SimForest","T02","T02_P1","T02_P1_1","Syzygium polyanthum","Species","C",14.8,13.7
"SimForest","T02","T02_P5","T02_P5_2","Syzygium polyanthum","Species","C",7.3,9.8
"SimForest","T02","T02_P4","T02_P4_1","Syzygium claviflorum","Species","B",20,17.3
"SimForest","T02","T02_P5","T02_P5_1","Dacryodes rostrata","Species","B",17.2,16.6
"SimForest","T02","T02_P4","T02_P4_2","Dacryodes rostrata","Species","C",9.1,10.8
"SimForest","T02","T02_P3","T02_P3_3","Dacryodes rostrata","Species","B",23.2,19.3
"SimForest","T02","T02_P1","T02_P1_4","Dacryodes rostrata","Species","B",16.6,13.4
"SimForest","T02","T02_P4","T02_P4_5","Dacryodes rostrata","Species","C",13.5,13.8
"SimForest","T02","T02_P2","T02_P2_6","Dacryodes rostrata","Species","A",62.7,42
"SimForest","T02","T02_P3","T02_P3_1","Ficus benjamina","Species","B",20,18.1
"SimForest","T02","T02_P5","T02_P5_1","Ficus variegata","Species","C",9.1,10.4
"SimForest","T02","T02_P4","T02_P4_1","Artocarpus elasticus","Species","B",22.5,18.8
"SimForest","T02","T02_P4","T02_P4_2","Artocarpus elasticus","Species","C",14.1,13.5
"SimForest","T02","T02_P3","T02_P3_1","Durio zibethinus","Species","B",30.6,20.6
"SimForest","T02","T02_P2","T02_P2_2","Durio zibethinus","Species","C",6.5,9.2
"SimForest","T02","T02_P4","T02_P4_3","Durio zibethinus","Species","C",9.9,11.1
"SimForest","T02","T02_P2","T02_P2_4","Durio zibethinus","Species","C",9.6,9.9
"SimForest","T02","T02_P4","T02_P4_5","Durio zibethinus","Species","C",6.8,8.6
"SimForest","T02","T02_P1","T02_P1_1","Koompassia excelsa","Species","B",30.1,23.9
"SimForest","T02","T02_P3","T02_P3_2","Koompassia excelsa","Species","B",18.4,14.8
"SimForest","T02","T02_P5","T02_P5_3","Koompassia excelsa","Species","C",8.9,9.5
"SimForest","T02","T02_P5","T02_P5_4","Koompassia excelsa","Species","B",28.4,24
"SimForest","T02","T02_P3","T02_P3_1","Dyera costulata","Species","C",12.3,12.7
"SimForest","T02","T02_P3","T02_P3_2","Dyera costulata","Species","C",9.7,11.5
"SimForest","T02","T02_P5","T02_P5_3","Dyera costulata","Species","A",46,29.5
"SimForest","T02","T02_P1","T02_P1_4","Dyera costulata","Species","B",18.7,15.1
"SimForest","T02","T02_P4","T02_P4_1","Palaquium rostratum","Species","C",7.5,9.1
"SimForest","T02","T02_P1","T02_P1_2","Palaquium rostratum","Species","B",21.8,16.8
"SimForest","T02","T02_P2","T02_P2_3","Palaquium rostratum","Species","A",61,37.7
"SimForest","T02","T02_P3","T02_P3_4","Palaquium rostratum","Species","B",21.6,17.5
"SimForest","T02","T02_P3","T02_P3_1","Santiria laevigata","Species","B",22.9,19.7
"SimForest","T02","T02_P2","T02_P2_2","Santiria laevigata","Species","B",25.2,19.3
"SimForest","T02","T02_P3","T02_P3_3","Santiria laevigata","Species","C",7,9
"SimForest","T02","T02_P3","T02_P3_4","Santiria laevigata","Species","B",22.4,16.7
"SimForest","T02","T02_P3","T02_P3_5","Santiria laevigata","Species","C",9.2,10.3
"SimForest","T02","T02_P5","T02_P5_6","Santiria laevigata","Species","C",10.6,12.4
"SimForest","T02","T02_P5","T02_P5_1","Aglaia argentea","Species","A",43.4,29.3
"SimForest","T02","T02_P3","T02_P3_2","Aglaia argentea","Species","A",59.7,42.5
"SimForest","T02","T02_P1","T02_P1_3","Aglaia argentea","Species","C",11.6,12.7
"SimForest","T02","T02_P3","T02_P3_1","Knema laurina","Species","A",33,26.1
"SimForest","T02","T02_P4","T02_P4_2","Knema laurina","Species","C",12.2,13
"SimForest","T02","T02_P4","T02_P4_3","Knema laurina","Species","A",72.4,41.3
"SimForest","T02","T02_P2","T02_P2_4","Knema laurina","Species","C",13.6,12.3
"SimForest","T02","T02_P1","T02_P1_5","Knema laurina","Species","C",7.3,8.9
"SimForest","T02","T02_P1","T02_P1_6","Knema laurina","Species","B",23.7,18.1
"SimForest","T02","T02_P5","T02_P5_7","Knema laurina","Species","C",8.3,10.1
"SimForest","T02","T02_P4","T02_P4_8","Knema laurina","Species","A",35.8,24.3
"SimForest","T02","T02_P2","T02_P2_1","Litsea firma","Species","B",21.7,16.3
"SimForest","T02","T02_P1","T02_P1_2","Litsea firma","Species","B",28.8,24.6
"SimForest","T02","T02_P3","T02_P3_3","Litsea firma","Species","C",15.2,13
"SimForest","T02","T02_P3","T02_P3_4","Litsea firma","Species","C",6.2,8.1
"SimForest","T02","T02_P4","T02_P4_5","Litsea firma","Species","C",8.8,10.3
"SimForest","T02","T02_P2","T02_P2_6","Litsea firma","Species","C",7.6,8.9
"SimForest","T02","T02_P3","T02_P3_7","Litsea firma","Species","C",11.6,12.1
"SimForest","T02","T02_P5","T02_P5_1","Baccaurea macrocarpa","Species","C",8.4,10.2
"SimForest","T02","T02_P1","T02_P1_2","Baccaurea macrocarpa","Species","C",15.6,13.2
"SimForest","T02","T02_P1","T02_P1_3","Baccaurea macrocarpa","Species","B",24.6,18.4
"SimForest","T02","T02_P1","T02_P1_4","Baccaurea macrocarpa","Species","C",9.7,10.6
"SimForest","T02","T02_P1","T02_P1_1","Garcinia parvifolia","Species","C",13.2,13.2
"SimForest","T02","T02_P2","T02_P2_2","Garcinia parvifolia","Species","B",31,25.4
"SimForest","T02","T02_P3","T02_P3_3","Garcinia parvifolia","Species","C",8.8,10.9
"SimForest","T02","T02_P3","T02_P3_4","Garcinia parvifolia","Species","C",6.1,9.2
"SimForest","T02","T02_P4","T02_P4_5","Garcinia parvifolia","Species","C",10.2,10.6
"SimForest","T02","T02_P5","T02_P5_1","Alstonia scholaris","Species","C",8.3,9.8
"SimForest","T02","T02_P1","T02_P1_1","Calophyllum inophyllum","Species","B",29.9,25.2
"SimForest","T02","T02_P2","T02_P2_2","Calophyllum inophyllum","Species","C",8.8,10
"SimForest","T02","T02_P5","T02_P5_1","Elateriospermum tapos","Species","C",13.8,14.4
"SimForest","T02","T02_P1","T02_P1_2","Elateriospermum tapos","Species","C",6.1,8.1
"SimForest","T02","T02_P4","T02_P4_3","Elateriospermum tapos","Species","B",26.6,20.5
"SimForest","T02","T02_P4","T02_P4_4","Elateriospermum tapos","Species","B",31.4,25.3
"SimForest","T02","T02_P2","T02_P2_5","Elateriospermum tapos","Species","B",27.9,22.7
"SimForest","T02","T02_P1","T02_P1_6","Elateriospermum tapos","Species","B",22,18.1
"SimForest","T02","T02_P4","T02_P4_1","Eusideroxylon zwageri","Species","C",6.7,9.3
"SimForest","T02","T02_P3","T02_P3_2","Eusideroxylon zwageri","Species","B",21.8,18.6
"SimForest","T02","T02_P1","T02_P1_3","Eusideroxylon zwageri","Species","C",8.8,10.2
"SimForest","T02","T02_P5","T02_P5_4","Eusideroxylon zwageri","Species","A",54.2,33.4
"SimForest","T02","T02_P2","T02_P2_5","Eusideroxylon zwageri","Species","C",8.7,10.9
"SimForest","T02","T02_P5","T02_P5_6","Eusideroxylon zwageri","Species","A",44.3,31.4
"SimForest","T02","T02_P3","T02_P3_7","Eusideroxylon zwageri","Species","C",12.9,11.4
"SimForest","T02","T02_P3","T02_P3_8","Eusideroxylon zwageri","Species","B",18,15.3
"SimForest","T02","T02_P1","T02_P1_9","Eusideroxylon zwageri","Species","C",15.2,13.4
"SimForest","T02","T02_P1","T02_P1_10","Eusideroxylon zwageri","Species","C",13,12.3
"SimForest","T02","T02_P4","T02_P4_11","Eusideroxylon zwageri","Species","A",33.4,25.9
"SimForest","T02","T02_P4","T02_P4_1","Macaranga gigantea","Species","C",9.4,10
"SimForest","T02","T02_P2","T02_P2_2","Macaranga gigantea","Species","C",12,11.8
"SimForest","T02","T02_P5","T02_P5_3","Macaranga gigantea","Species","B",28.1,19.5
"SimForest","T02","T02_P2","T02_P2_4","Macaranga gigantea","Species","A",42.9,32.6
"SimForest","T02","T02_P4","T02_P4_5","Macaranga gigantea","Species","C",13.1,12.3
"SimForest","T02","T02_P4","T02_P4_6","Macaranga gigantea","Species","C",6.9,9
"SimForest","T02","T02_P2","T02_P2_1","Mallotus paniculatus","Species","B",21,17.8
"SimForest","T02","T02_P1","T02_P1_2","Mallotus paniculatus","Species","B",26,19.2
"SimForest","T02","T02_P5","T02_P5_3","Mallotus paniculatus","Species","B",24.7,20.9
"SimForest","T02","T02_P2","T02_P2_4","Mallotus paniculatus","Species","C",7.4,9.7
"SimForest","T02","T02_P4","T02_P4_1","Parkia speciosa","Species","A",44,30.8
"SimForest","T02","T02_P1","T02_P1_2","Parkia speciosa","Species","B",19.6,18
"SimForest","T02","T02_P2","T02_P2_3","Parkia speciosa","Species","B",18.6,17.9
"SimForest","T02","T02_P4","T02_P4_4","Parkia speciosa","Species","C",12.9,11.4
"SimForest","T02","T02_P5","T02_P5_5","Parkia speciosa","Species","A",67.2,43.8
"SimForest","T02","T02_P2","T02_P2_6","Parkia speciosa","Species","C",10.8,12.4
"SimForest","T02","T02_P2","T02_P2_1","Vatica rassak","Species","C",5.8,8.2
"SimForest","T02","T02_P5","T02_P5_2","Vatica rassak","Species","C",13.7,12.3
"SimForest","T02","T02_P4","T02_P4_3","Vatica rassak","Species","C",6,9.2
"SimForest","T02","T02_P1","T02_P1_4","Vatica rassak","Species","A",35.8,23.1
"SimForest","T03","T03_P5","T03_P5_1","Shorea leprosula","Species","C",14.1,12.6
"SimForest","T03","T03_P3","T03_P3_2","Shorea leprosula","Species","B",21.4,19.9
"SimForest","T03","T03_P4","T03_P4_3","Shorea leprosula","Species","A",40.7,32.4
"SimForest","T03","T03_P1","T03_P1_1","Shorea parvifolia","Species","C",11.3,12.7
"SimForest","T03","T03_P4","T03_P4_2","Shorea parvifolia","Species","C",15,14.1
"SimForest","T03","T03_P3","T03_P3_3","Shorea parvifolia","Species","C",14.3,13.9
"SimForest","T03","T03_P2","T03_P2_1","Shorea acuminata","Species","C",7,8.9
"SimForest","T03","T03_P5","T03_P5_2","Shorea acuminata","Species","A",55.7,37.5
"SimForest","T03","T03_P2","T03_P2_1","Dipterocarpus caudatus","Species","C",8.8,10.5
"SimForest","T03","T03_P4","T03_P4_2","Dipterocarpus caudatus","Species","C",15.4,15.6
"SimForest","T03","T03_P2","T03_P2_3","Dipterocarpus caudatus","Species","B",28.5,22.3
"SimForest","T03","T03_P3","T03_P3_4","Dipterocarpus caudatus","Species","C",13.9,13.7
"SimForest","T03","T03_P3","T03_P3_1","Hopea nervosa","Species","C",5.6,8
"SimForest","T03","T03_P5","T03_P5_1","Dryobalanops aromatica","Species","A",53.7,31.8
"SimForest","T03","T03_P3","T03_P3_2","Dryobalanops aromatica","Species","A",49.2,38.2
"SimForest","T03","T03_P1","T03_P1_1","Syzygium polyanthum","Species","B",28.5,20.1
"SimForest","T03","T03_P3","T03_P3_2","Syzygium polyanthum","Species","A",63.3,39.6
"SimForest","T03","T03_P1","T03_P1_3","Syzygium polyanthum","Species","A",54,32.7
"SimForest","T03","T03_P3","T03_P3_4","Syzygium polyanthum","Species","C",8.1,10.7
"SimForest","T03","T03_P2","T03_P2_1","Syzygium claviflorum","Species","A",46.3,37.3
"SimForest","T03","T03_P4","T03_P4_2","Syzygium claviflorum","Species","B",23.8,17.2
"SimForest","T03","T03_P2","T03_P2_1","Dacryodes rostrata","Species","C",14.6,13.8
"SimForest","T03","T03_P5","T03_P5_1","Diospyros macrophylla","Species","B",21.5,18.9
"SimForest","T03","T03_P3","T03_P3_2","Diospyros macrophylla","Species","A",42,29.8
